the 1 times training , the cost is 12.5453
the 2 times training , the cost is 10.6294
the 3 times training , the cost is 11.4352
the 4 times training , the cost is 12.0335
the 5 times training , the cost is 14.6491
the 6 times training , the cost is 5.75685
the 7 times training , the cost is 3.1611
the 8 times training , the cost is 2.26017
the 9 times training , the cost is 2.06688
the 10 times training , the cost is 1.91187
the 11 times training , the cost is 1.77902
the 12 times training , the cost is 1.66385
the 13 times training , the cost is 1.56275
the 14 times training , the cost is 1.47336
the 15 times training , the cost is 1.39384
the 16 times training , the cost is 1.32286
the 17 times training , the cost is 1.25915
the 18 times training , the cost is 1.20156
the 19 times training , the cost is 1.1492
the 20 times training , the cost is 1.10135
the 21 times training , the cost is 1.05743
the 22 times training , the cost is 1.01696
the 23 times training , the cost is 0.979552
the 24 times training , the cost is 0.944832
the 25 times training , the cost is 0.912562
the 26 times training , the cost is 0.88232
the 27 times training , the cost is 0.854141
the 28 times training , the cost is 0.827554
the 29 times training , the cost is 0.803208
the 30 times training , the cost is 0.780337
the 31 times training , the cost is 0.758819
the 32 times training , the cost is 0.738409
the 33 times training , the cost is 0.719111
the 34 times training , the cost is 0.700798
the 35 times training , the cost is 0.68339
the 36 times training , the cost is 0.666821
the 37 times training , the cost is 0.651032
the 38 times training , the cost is 0.635966
the 39 times training , the cost is 0.621576
the 40 times training , the cost is 0.607815
the 41 times training , the cost is 0.594643
the 42 times training , the cost is 0.582022
the 43 times training , the cost is 0.569917
the 44 times training , the cost is 0.558298
the 45 times training , the cost is 0.547135
the 46 times training , the cost is 0.536401
the 47 times training , the cost is 0.526071
the 48 times training , the cost is 0.516123
the 49 times training , the cost is 0.506536
the 50 times training , the cost is 0.497291
